artist_name,artist_id,album_id,album_release_date,album_release_year,duration_ms,danceability
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,206280,0.521
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,255280,0.625
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,214786,0.533
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,253986,0.479
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,238640,0.376
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,254106,0.63
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,270586,0.484
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,62520,0.317
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,281613,0.525
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,404720,0.488
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,396893,0.498
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,198800,0.603
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,267520,0.65
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,223853,0.609
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,81480,0.195
The National,2cCUtGK9sDU2EoElnk0GNB,5M5LPGsAR9mxbBa22GOp5h,2019-05-17,2019,213373,0.543
